text,label
"Cashier ne galti se zyada change de diya, maine wapas kar diya kyunki yahi sahi hai.",Ethical
"Maine apni galti apne boss ko bata di, chahe mujhe daant padne ka darr tha.",Ethical
"Maine bribe lene se mana kar diya contractor se, chahe mujhe faayda hota.",Ethical
"Mera padosi poochh raha tha kuch — maine usse sachchi salah di, chaahe mujhe faayda nahi tha.",Ethical
"Maine apne dost ki business plan ki kamzoriyan bataai sachchi tarah, chahe unhe bura laga.",Ethical
"Maine ek kho gayi purse wapas ki bina kuch liye, wallet mein paise the.",Ethical
Maine apne colleague ka kaam credit nahi liya presentation mein.,Ethical
"Maine apni galti exam mein teacher ko bata di, seedhi baat sach ke saath.",Ethical
Maine jhooth bolne se mana kar diya apni company ke liye misleading document sign karne se.,Ethical
"Maine apne friend ko sachchi feedback di unki kahani ke baare mein, chahe unhe dard hua.",Ethical
"Maine admit kiya ki building mein ek defect hai ghar kharidne wale ko, deal cancel ho gayi par sach zaroori tha.",Ethical
"Maine dono ko equal credit diya project mein, chahe main zyada kaam kiya.",Ethical
Maine gossip mein participate karne se mana kar diya colleague ke baare mein.,Ethical
Maine apna conflict of interest disclose kiya committee mein aur khud ko withdraw kar liya.,Ethical
"Padosi ke baad meri gaadi se unka property damage hua, maine maafi mangi aur repair ke paise diye.",Ethical
Maine apne relative ko manipulate karne se mana kiya will badlwane ke liye.,Ethical
"Maine apne saathi ko bully hote dekha aur uske khilaaf khada hua, chahe bully popular tha.",Ethical
"Maine apne interview mein sach bola, false experience add nahi ki.",Ethical
"Maine ek elderly patient ko medical error ke baare mein bataya, chahe hospital ko nuksan tha.",Ethical
I did not falsely accuse my ex-partner to gain an advantage in the custody dispute.,Ethical
I let a competitor win a tender because I realized I had inadvertently seen their confidential proposal.,Ethical
I gave the job to the more qualified candidate even though the other was my friend.,Ethical
I informed the inspector of the genuine safety issues at my factory rather than bribing them to overlook it.,Ethical
I returned excess insurance payout to the company because I knew I was overcompensated.,Ethical
I refused to help my child cheat on a school assignment even though they were stressed.,Ethical
"I corrected my professor when they cited wrong data in class, politely but clearly.",Ethical
I told my employer I needed a day off for personal reasons instead of pretending to be sick.,Ethical
I fulfilled a verbal promise to an old friend even though I had nothing in writing.,Ethical
I did not shade the truth in my medical history form even though it might affect my insurance.,Ethical
I took credit for my intern's work during the annual review and got a promotion.,Selfish
I parked in the disabled parking spot because I was in a hurry and it was just for five minutes.,Selfish
I cheated on my partner for months but never admitted it because it was convenient for me.,Selfish
I lied on my resume about my qualifications to get a job I wasn't qualified for.,Selfish
I ignored a homeless person asking for food and walked past them.,Selfish
I manipulated my elderly parent into changing their will in my favor.,Selfish
I cut in line at the hospital claiming it was urgent just because I didn't want to wait.,Selfish
I used my friend's credit card without telling them because I forgot my wallet.,Selfish
I got my neighbor's package delivered to my door and kept it.,Selfish
I cheated in my exam because I hadn't studied and needed to pass.,Selfish
I stole a parking spot someone was clearly waiting for.,Selfish
I ghosted a friend who needed emotional support because I found it inconvenient.,Selfish
I took the last elevator spot and let the pregnant woman wait for the next one.,Selfish
I lied to my employee to avoid paying them a raise they deserved.,Selfish
I broke up with my partner over text on their birthday because I was too cowardly to face them.,Selfish
I spread a rumour about my colleague to make myself look better at work.,Selfish
I borrowed money from a struggling friend and never paid it back.,Selfish
I blew the whistle on my coworker to remove competition for a promotion.,Selfish
I took food meant for a charity event because no one was watching.,Selfish
I pretended to be sick to avoid attending a friend's important event.,Selfish
"I cut corners on the construction project to save money, knowing it created safety risks.",Selfish
I used my child's college fund for a luxury vacation I wanted.,Selfish
I took a wallet I found on the road and stole all the cash inside it.,Selfish
I found a dropped purse and kept the money instead of returning it.,Selfish
I saw someone drop a $100 bill and quietly put it in my pocket.,Selfish
I reported a competitor to regulators using false information to eliminate them from the market.,Selfish
I fired an employee just before their stock options vested to save the company money.,Selfish
I refused to wear a mask during a respiratory illness because it was uncomfortable for me.,Selfish
I charged a vulnerable elderly client for services I never actually performed.,Selfish
I took a bribe to approve a faulty building project because the money was too good to refuse.,Selfish
"I ghosted a business partner after they had done all the work, to avoid paying their share.",Selfish
I deliberately gave a negative reference for a former colleague I was jealous of.,Selfish
I used company expenses for personal trips and claimed them as business travel.,Selfish
Maine apne intern ka kaam chura liya aur boss ke saamne apna bataya — promotion mil gayi.,Selfish
Maine disabled parking mein gaadi khari ki kyunki mujhe jaldi thi — 'bas 5 minute ki baat hai'.,Selfish
Maine apne partner se 6 mahine tak cheating ki aur kabhi admit nahi kiya kyunki convenient tha.,Selfish
Maine apni resume mein jhooth bola degree ke baare mein job paane ke liye.,Selfish
"Mujhe pata tha mera padosi loan mein doob raha hai, par maine usse paise dene se mana kar diya aur apne ghumne chala gaya.",Selfish
Maine apne budhape mein baap ko manipulate kiya will mein apna naam daalne ke liye.,Selfish
Maine line mein cut kiya hospital mein yeh bolkar ki emergency hai — sirf wait nahi karna tha.,Selfish
Maine apne dost ka credit card bina bole use kiya.,Selfish
Maine galti se deliver hua package — neighbour ka tha — rakh liya.,Selfish
Maine exam mein cheating ki kyunki padha nahi tha aur paas hona zaroori tha.,Selfish
Maine apne colleague ke baare mein jhoothi baar baat failaai apni image improve karne ke liye.,Selfish
Maine apne dost se paise liye aur vapas dene ki niyat nahi thi.,Selfish
Maine charity ke liye rakha hua khana khaa liya kyunki koi dekh nahi raha tha.,Selfish
Maine apne employee ko jhooth bola raise nahi dene ke liye.,Selfish
Maine apne competitor ke baare mein false complaint file ki taaki unhe hataya ja sake.,Selfish
Maine bribe liya aur ek faulty building project approve kar diya paise ke lalach mein.,Selfish
Maine apni company ke kharche pe personal trips ki aur business mein dikhaaya.,Selfish
Maine apni baat manaane ke liye apni maa ko emotionally blackmail kiya.,Selfish
Maine apni ex ko false case mein fansane ki koshish ki custody fight mein apni jagah strong karne ke liye.,Selfish
Maine apne dost ki izzat ek party mein tod di sirf hasne ke liye.,Selfish
"Sadak pe gira hua batua uthaya aur usme se saare paise nikal liye, bacha hua phek diya.",Selfish
Maine purse mila kisi aur ka aur usme se cash chura liya.,Selfish
I gave a five-star review to my own restaurant using fake accounts to improve rankings.,Selfish
I let my colleague take the blame for a mistake that was mine.,Selfish
I returned a used product to the store claiming it was defective to get a refund.,Selfish
"I told my landlord I was unemployed to get a lower rent, even though I had a good salary.",Selfish
I used my sick leave to go on vacation and then lied to my manager about it.,Selfish
"I sold counterfeit goods to customers, knowing they were fake.",Selfish
I hid information from my business partner to force them to sell their share cheaply.,Selfish
"I borrowed my sibling's savings and invested it in a scheme without telling them, then lost the money.",Selfish
I deliberately withheld praise from a teammate to keep them from getting recognized.,Selfish
I downloaded pirated software and refused to pay for tools my work required.,Selfish
